year,labour_capacity
2000,58722.41341427352
2001,54745.18380719137
2002,-165045.33834515943
2003,-315694.91845114884
2004,209209.72106213888
2005,-227105.6852935494
2006,-288276.21327978926
2007,-375819.8993096837
2008,101386.99994044729
2009,-352413.3029853672
2010,-469345.2504296952
2011,-194499.82592645392
2012,-347347.31295583484
2013,-366635.9814530136
2014,-494447.3627590805
2015,-504891.88473473093
2016,-920475.1655212119
