year,IN
2000,50759.60763735151
2001,47006.26457829497
2002,-80064.97741844133
2003,-139442.68537146138
2004,46832.093929344715
2005,-98937.15283441643
2006,-3676.6043858034054
2007,-157149.21660072787
2008,35346.40503157655
2009,-174833.59913769833
2010,-283670.3183483994
2011,-88151.76599987403
2012,-163475.1124809834
2013,-51679.723989037055
2014,-345639.42248763324
2015,-386667.0016021197
2016,-418358.46518570615
