year,heatwave_exposure_events
2000,-10243584.38403733
2001,-5168403.807610673
2002,7092886.234378559
2003,46388664.0733791
2004,-19566348.776404336
2005,17492013.060791496
2006,42351595.05762072
2007,22831094.10930806
2008,-24559455.246626776
2009,3317952.4180096164
2010,171385267.5914461
2011,27837120.264633834
2012,52697389.81327533
2013,77037912.53078067
2014,50327291.27047806
2015,208174050.27637446
2016,139254421.99984685
2017,157009438.3998206
