year,labour_capacity
2000,98.15092060207925
2001,97.74479835446184
2002,97.50458528886533
2003,97.50492759265555
2004,97.68633457365848
2005,97.24697734085679
2006,97.51490742062823
2007,97.43212317598405
2008,98.09057899740728
2009,97.3562057200563
2010,97.10812976848376
2011,97.56980522853787
2012,97.59730597769881
2013,97.46117436753373
2014,97.23701686084549
2015,96.82256307152016
2016,96.51640422608652
