year,IN
2000,70.14114709728733
2001,69.99961855978113
2002,66.89772092109361
2003,65.42486395157883
2004,69.88439815336798
2005,66.42873722822556
2006,68.63410230339001
2007,65.12113263257898
2008,69.47979950584595
2009,64.68802833743256
2010,62.291421705573654
2011,66.65485220710593
2012,65.01745918100079
2013,67.41003822378144
2014,60.9966611600061
2015,60.18315646837929
2016,59.58441626300467
