year,AU
2000,-82144.43866992307
2001,-83776.053708371
2002,-66346.82402589556
2003,-81556.82279119684
2004,688954.3099916127
2005,-69216.79084488998
2006,-77811.5921464598
2007,-94203.7459959504
2008,-97907.14718424782
2009,-56867.38376195226
2010,-101752.5123399111
2011,1485674.2965673003
2012,826682.2525640082
2013,-51054.0026146051
2014,-8449.298020088452
2015,-118688.19690537556
2016,-18124.358771852276
