year,AU
2000,-0.06521760375635492
2001,-0.0652346826504058
2002,-0.050639607915673276
2003,-0.06093191296756629
2004,0.5039513597287416
2005,-0.04954319979152629
2006,-0.05438148685791689
2007,-0.06430830945861801
2008,-0.06515776634638223
2009,-0.03679757312256252
2010,-0.06371273405918985
2011,0.900007284965584
2012,0.48200802536755577
2013,-0.028612230766540816
2014,-0.004555085762020584
2015,-0.061680527525672026
2016,-0.009122821615736748
