year,heatwave_exposure
2000,-6355908.9463499505
2001,-2826956.956247157
2002,2712323.8417481612
2003,22702111.209952418
2004,-8883541.901891384
2005,5696377.4740410615
2006,19309157.65888909
2007,13057506.864400463
2008,-11965456.68985981
2009,154763.8319112902
2010,89926413.79911247
2011,21705360.17547517
2012,24527423.699239377
2013,40462400.56173815
2014,20987541.551195055
2015,88997160.06662074
2016,58477178.81461983
