year,heatwave_exposures
2000,28277.204560241702
2001,167961.4831439226
2002,1468751.0706761472
2003,7943120.252508369
2004,544447.6563388938
2005,644401.1136086425
2006,6584312.431705019
2007,4235493.019333253
2008,1662.8894990615847
2009,1076706.4581434205
2010,6571133.153145943
2011,469458.80086830596
2012,2417423.413295068
2013,2371049.803049564
2014,1387045.4259942241
2015,18404382.465089664
2016,106537.59437863923
