year,EU28
2000,0.0007498598506996319
2001,0.004382657283454904
2002,0.037692591065195874
2003,0.2005074658121862
2004,0.013532913748112966
2005,0.015809853916896953
2006,0.15932887632924023
2007,0.10125129858045294
2008,3.9304280700980616e-05
2009,0.025136472610812283
2010,0.15111703653109715
2011,0.010606432437975884
2012,0.053556662128087136
2013,0.051417912419658526
2014,0.02943866753987793
2015,0.3826679232547295
2016,0.0021707216797955944
