year,heatwave_exposures
2000,169289.760919458
2001,616067.6200430341
2002,2133792.6855626064
2003,17738360.348967034
2004,1373148.8916847173
2005,1072253.672138002
2006,10864511.244025499
2007,8971586.977974642
2008,2572.1658310871126
2009,1676329.4574644384
2010,10494442.016951118
2011,1011700.1763758188
2012,4334337.861888113
2013,4209275.520312364
2014,2284617.734010896
2015,46295474.72894957
2016,288856.9883895227
