year,heatwave_mean_length
2000,-0.1731279934963062
2001,-0.15880067527544017
2002,-0.010442122763868867
2003,1.0340065591000889
2004,-0.11395324612571464
2005,-0.11240318543451748
2006,0.493806927026516
2007,0.29948255442225735
2008,-0.17575662736690528
2009,-0.07420053367943254
2010,0.47164457205975935
2011,-0.13308982381737994
2012,0.05653929781730222
2013,0.042485202879231916
2014,-0.037118689563942917
2015,1.8793501624944446
2016,-0.1658645301059406
