year,heatwave_exposure_events
2000,-7717656.076077013
2001,-4481869.053358871
2002,4730605.032145022
2003,38288699.46225058
2004,-15570096.548276767
2005,12781303.871755222
2006,31947131.18323318
2007,21243677.016213145
2008,-19485105.729963537
2009,-370157.28795516834
2010,147384298.1903726
2011,23337063.532450903
2012,40503070.69198192
2013,65583599.835985124
2014,39730482.06805322
2015,175132193.08125085
2016,115347864.56091204
